Название аптеки,Адрес,Телефон,Цена
Гомельское УП Фармация Аптека N29,"Добруш, г.п. Тереховка, ул. Ленина, 37",(02333) 22541,40.43 р.
Гомельское УП Фармация Аптека N34,"Речица, ул. Снежкова, 19-49",(02340) 45920,40.43 р.
Гомельское УП Фармация Аптека N4,"Гомель, ул. Ильича, 87",(0232) 258681,40.43 р.
Гомельское УП Фармация Аптека N4/3,"Гомель, ул. Ильича, 301",(0232) 325823,40.43 р.
Гомельское УП Фармация Аптека N5/2,"Гомель, ул. Октябрьская, 17-9",(0232) 907571,40.43 р.
Гомельское УП Фармация Аптека N53,"Речица, ул. Советская, 93А",(02340) 54363,40.43 р.
Гомельское УП Фармация Аптека N55,"Чечерск, ул. 50 лет БССР, 34",(02332) 78504,40.43 р.
Гомельское УП Фармация Аптека N58,"Гомель, ул. Мазурова, 46",(0232) 565705,40.43 р.
Гомельское УП Фармация Аптека N58/2,"Гомель, ул. Мазурова, 10В, ГЦГП, 2 этаж",(0232) 202757,40.43 р.
Гомельское УП Фармация Аптека N59,"Гомель, ул. Мазурова, 17-152",(0232) 244384,40.43 р.
Гомельское УП Фармация Аптека N60,"Октябрьский, ул. Калинина, 24-1",(02357) 38829,40.43 р.
Гомельское УП Фармация Аптека N66,"Калинковичи, ул. Советская, 21",(02345) 38230,40.43 р.
Гомельское УП Фармация Аптека N66/5,"Калинковичи, ул. 50 лет Октября, 6",(2345) 51101,40.43 р.
Гомельское УП Фармация Аптека N68/2,"Хойники, ул. Колесника, 2",(02346) 40693,40.43 р.
Гомельское УП Фармация Аптека N7,"Гомель, пр-т Космонавтов, 32",(0232) 222641,40.43 р.
Гомельское УП Фармация Аптека N72,"Брагин, ул. Крылова, 7",,40.43 р.
Гомельское УП Фармация Аптека N79/3,"Гомель, ул. Катунина, 7-2",(0232) 211550,40.43 р.
Гомельское УП Фармация Аптека N8,"Гомель, ул. Севастопольская, 91",(0232) 531378,40.43 р.
Гомельское УП Фармация Аптека N8/3,"Гомель, ул. Дубравная, 10",(0232) 278548,40.43 р.
Гомельское УП Фармация Аптека N9,"Ветка, ул. Батракова, 31",(02330) 43340,40.43 р.
Гомельское УП Фармация Аптека N9/2,"Ветка, ул. Батракова, 36",(02330) 41304,40.43 р.
Гомельское УП Фармация Аптека N9/4,"Ветка, ул. Советская, 2",(02330) 34423,40.43 р.
Гомельское УП Фармация Аптека N99,"Светлогорск, пос. Сосновый Бор, ул. Карла Маркса, 13а",(02342) 42223,40.43 р.
Минская Фармация Аптека N244,"Дзержинск, ул. Тихая, 3А-71",(01716) 34697,40.44 р.
Планета Здоровья Аптека N32 ИООО АБФармация,"Белоозерск, ул. Мира, 13, Магазин Санта",+375164358053,40.50 р.
Апека Аптека N22 ООО КосмоФарма,"Любань, пер. Купаловский, 6 пом.7, Магазин Светофор",+375179467363,40.51 р.
Новамедика Аптека N40,"Сеница, Сенницкий с/с, 84, ТЦ Сеница",(017) 2216412,40.52 р.
Планета Здоровья Аптека N28 ИООО АБФармация,"Барановичи, ул. Текстильная, 14А, Магазин Евроопт",+375163611597,40.56 р.
Комфарм ООО Аптека N6,"Логойск, ул. Советская, 32А",(01774) 29759,40.56 р.
Моя Аптека ООО Аптека N90,"Волковыск, ул. Горбатова, 8-1",(01512) 51910,40.56 р.
АльфаАптека Аптека N3 Фитобел ООО,"Минск-Фрунзенский, ул. Лобанка, 26, пом. 4",(017) 3772570,40.56 р.
Моя Аптека ООО Аптека N1,"Минск-Фрунзенский, ул. Лобанка, 22, пом. 3Н",(017) 3501302,от 40.56 р.
Моя Аптека ООО Аптека N12,"Барановичи, ул. Брестская, 226-9",(0163) 613836,40.56 р.
Моя Аптека ООО Аптека N81,"Могилев, ул. Бялыницкого-Бирули, 1, мед. центр Евромедика",(0222) 633333,40.56 р.
Шарлота ОДО Аптека N4,"Молодечно, ул. Великий Гостинец, 67, к. 1",(0176) 751588,40.56 р.
АльфаАптека Аптека N7 ОДО Аленфарм плюс,"Минск-Фрунзенский, ул. Кунцевщина, 2А-9",(017) 2474817,40.56 р.
Моя Аптека ООО Аптека N63,"Лунинец, ул. Фрунзе, 9-72",(01647) 45728,40.56 р.
Веди-Мед ОДО Ремедика Аптека N2,"Рогачев, ул. Октябрьская, 18",(02339) 20707,40.59 р.
БелЛекоЦентр РУП Государственная аптека N1,"Минск-Московский, пр-т Независимости, 6",(017) 3785513,40.65 р.
БелЛекоЦентр РУП Государственная аптека N10,"Минск-Московский, пр-т Дзержинского, 100",(017) 3792803,40.65 р.
БелЛекоЦентр РУП Государственная аптека N11,"Минск-Московский, пр-т Независимости, 11, гостиница Минск, к. 2, 1 этаж",(017) 3604170,40.65 р.
БелЛекоЦентр РУП Государственная аптека N18,"Минск-Московский, м. Михалово, подземный переход",(017) 3964294,40.65 р.
БелЛекоЦентр РУП Государственная аптека N24,"Минск-Советский, пр-т Независимости, 79",(044) 5022824,40.65 р.
БелЛекоЦентр РУП Государственная аптека N28,"Минск-Фрунзенский, пр-т Пушкина, 20, пом. 2-37, маг. Хит",(044) 5022840,40.65 р.
БелЛекоЦентр РУП Государственная аптека N29,"Минск-Советский, ул. Максима Богдановича, 89, маг. Евроопт",(017) 3974526,40.65 р.
БелЛекоЦентр РУП Государственная аптека N33,"Минск-Первомайский, ул. Макаенка, 5-54",(017) 3692426,40.65 р.
БелЛекоЦентр РУП Государственная аптека N4,"Минск-Центральный, пр-т Победителей, 23, к. 1",(017) 3285592,40.65 р.
БелЛекоЦентр РУП Государственная аптека N40,"Минск-Фрунзенский, ул. Притыцкого, 32-203",(044) 5022831,40.65 р.
БелЛекоЦентр РУП Государственная аптека N43,"Минск-Октябрьский, ул. Казинца, 11А-51, БЦ Гермес",(017) 3603575,40.65 р.
БелЛекоЦентр РУП Государственная аптека N48,"Минск-Октябрьский, пр-т Мира, 3-1, подземный переход станции метро Аэродромная",(017) 3643602,40.65 р.
БелЛекоЦентр РУП Государственная аптека N6,"Минск-Ленинский, ул. Ульяновская, 5, 6-я городская пол-ка, 6 этаж",(017) 3259060,40.65 р.
Радикс Аптека N14 ООО Диалпро,"Любань, ул. Первомайская, 67",(01794) 63202,40.65 р.
Новамедика Аптека N37,"Дзержинск, ул. Пераможцев, 1Б-1",(01716) 48967,40.71 р.
БелЛекоЦентр РУП Государственная аптека N25,"Минск-Центральный, Ждановичский с/с, 81, в здании РКМЦ, район аг. Ждановичи",(017) 5171605,40.71 р.
БелЛекоЦентр РУП Государственная аптека N3,"Минск-Первомайский, ул. Филимонова, 53, медсанчасть завода Вавилова",(017) 3667049,от 40.71 р.
БелЛекоЦентр РУП Государственная аптека N42,"Гродно, ул. Кабяка, 15Б",(0152) 331229,40.71 р.
БелЛекоЦентр РУП Государственная аптека N7,"Минск-Фрунзенский, аг. Ратомка, сан. Юность, здание корпуса Морской",(017) 5039118,40.71 р.
Доминантафарм ОДО Аптека N2,"Минск-Ленинский, Игуменский тр-т, 16-371",(017) 3431022,40.73 р.
Ледафарммед ООО Аптека N6,"Лида, ул. Тухачевского, 37-2",(0154) 607150,40.73 р.
АльфаАптека Аптека N1 ГаленаФарм ООО,"Пинск, ул. Брестская, 118-97",(0165) 627783,40.77 р.
Ремедика Бальзам ООО Аптека N19,"Пинск, ул. Парковая, 146А",(0165) 662089,40.78 р.
Планета Здоровья Аптека N20 ООО Космофарма,"Речица, ул. Снежкова, 33-1, Магазин Копеечка, вход в аптеку через торговый зал магазина",+375234078033,40.84 р.
Планета Здоровья Аптека N7 Белтрейдсервис ООО,"Речица, ул. Советская, 66",+375234099157,40.84 р.
Планета Здоровья Аптека N1 Белтрейдсервис ООО,"Солигорск, ул. Ленина, 40",+375174236694,40.84 р.
Добрыя Леки Аптека N43 ООО Аптека групп Запад,"Волковыск, ул. Франциска Скорины, 11-72, маг. Копеечка",моб. 5355757,40.90 р.
