Название аптеки,Адрес,Телефон,Время работы,Цена
"Оптика сладких цен ""Халва"" N1 ООО Голд оптик","Минск-Ленинский, пр-т Рокоссовского, 145",(029) 3084585,"10.00-20.00, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Витебское УП Фармация Аптека N60,"Витебск, пос. Тарный, ул. Гуринова, 47, амбулатория пос. Тарный",(0212) 436735,"09.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.",
Витебское УП Фармация Аптека N293,"Докшицы, д. Будачи, сан. Боровое, 1/8, водолечебница",(02157) 51032,"выходной, пн.; 08.00-16.00, вт.; выходной, ср.; выходной, чт.; 08.00-16.00, пт.; выходной, сб.; выходной, вс.",
Медтехника УП Магазин Оптика г. Светлогорск,"Светлогорск, ул. Калинина, 14б, территория детской больницы",(02342) 30691,"09.00-18.00, пн.–пт.; выходной, сб.; выходной, вс.",
Добрыя Леки-Эканом Аптека N14 ООО Аптека групп Центр,"Минск-Фрунзенский, ул. Лобанка, 109, пом. 2Н",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Медпростор Салон медтехники и ортопедии N32,"Бобруйск, ул. Октябрьская, 122",(0225) 749761,"08.00-20.00, пн.–пт.; 09.00-18.00, сб.; 09.00-18.00, вс.",
Брестское РУП Фармация Аптека N38,"Ивацевичи, аг. Бытень, ул. Советская, 43",(01645) 38368,"09.00-18.00, пн.–пт.; 09.00-17.00, сб.; выходной, вс.; Праздн. дни: выходной;                   Перерыв в будни: 14.00-15.00;",
Интернет-магазин aptekatut.by,"Минск, Доставка курьером в пределах г. Минска , сервисом «Европочта» - по всей РБ",(029) 3334400,"09.00-17.30, пн.–пт.; выходной, сб.; выходной, вс.",
Минская Фармация Аптека N88,"Любань, ул. Первомайская, 72А",(01794) 67686,"10.00-20.00, пн.–пт.; 10.30-15.30, сб.; 10.30-15.30, вс.",
Добрыя леки Аптека N12 ОДО Амадей,"Гомель, ул. Советская, 40А, маг. Зообазар",моб. 5355757,"08.00-20.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.",
Могилевское РУП Фармация Аптека N137,"Белыничи, д. Вишов, ул. Мелиораторов, 16",(02232) 38128,"08.30-16.00, пн.; 08.30-15.00, вт.; 08.30-15.00, ср.; 08.30-15.00, чт.; 08.30-15.00, пт.; 08.30-15.00, сб.; выходной, вс.; Праздничные дни: выходной;",
Минская Фармация Аптека N18,"Червень, ул. Барыкина, 79А",(01714) 21745,"09.00-18.00, пн.–пт.; 09.00-17.30, сб.; 09.00-17.30, вс.; Перерыв в понедельник-пятницу: 14:00-15:00; Перерыв в субботу, воскресенье и праздничные дни: 13:30-14:00; Праздничные дни: 9:00-17:30;",
Зялёная крама Торговый объект N63 ООО Ирина-Фарм,"Колодищи, трасса М-2, 9-ый км, островок в гипермаркете Виталюр",,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Зялёная крама Торговый объект N749 ООО Ирина-Фарм,"Могилев, ул. Мовчанского, 6, островок напротив касс",7822 - А1+mts,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Зялёная крама Торговый объект N56 ООО Ирина-Фарм,"Минск-Заводской, ул. Уборевича, 176, ТЦ Green",7822 - А1+mts,"09.00-22.00, пн.–пт.; 09.00-22.00, сб.; 09.00-22.00, вс.",
Медтехника УП Магазин Медтехника г. Островец,"Островец, пр-т Энергетиков, 1",(01591) 34273,"08.30-17.00, пн.–пт.; выходной, сб.; выходной, вс.",
Искамед ООО Аптека N120,"Минск-Фрунзенский, ул. Притыцкого, 97",(017) 3909801,"08.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Санитарные часы: четвертый понедельник каждого месяца с 8:00 до 10:00;",
АльфаАптека Аптека N1 ОДО Салюслайн,"Гродно, ул. Советская, 15-17",(0152) 621544,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 10.00-19.00, вс.; Санитарные часы: третий четверг месяца с 9.00 до 11.00;",
Пакт-М ООО Аптека N9,"Минск-Фрунзенский, аг. Ждановичи, сан. Крыница, к. 7",(017) 5422529,"10.00-17.00, пн.–пт.; выходной, сб.; выходной, вс.",
Минская Фармация Аптека N300,"Мядель, ул. Юбилейная, 17А",(01797) 22830,"10.30-22.00, пн.–пт.; 10.30-22.00, сб.; 10.30-22.00, вс.",
Брестское РУП Фармация Аптека N78,"Пинск, пос. Городище, ул. Лунинецкая, 20",(0165) 674125,"08.30-17.00, пн.–пт.; выходной, сб.; выходной, вс.; Перерыв: 13:00-13:30; Праздничные дни: выходной;",
Добрыя Леки Аптека N62 ООО Аптека групп Центр,"Молодечно, ул. Богдана Хмельницкого, 6-2",моб. 5355757,"08.00-20.00, пн.–пт.; 08.00-20.00, сб.; 08.00-20.00, вс.",
Медтехника УП Магазин Медтехника N6,"Гомель, ул. Ильича, 286, административный корпус, 1 этаж",(0232) 257039,"08.00-16.00, пн.–пт.; выходной, сб.; выходной, вс.; Обед: 12:30-13:00",
Добрыя Леки Аптека N54 ООО Аптека групп Запад,"Жабинка, ул. Кирова, 77, в здании Универмага",моб. 5355757,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.",
Плесид ООО Аптека N2,"Минск-Советский, ул. Сурганова, 50, ТЦ Рига",(044) 5074502,"10.00-21.00, пн.–пт.; 10.00-21.00, сб.; 10.00-21.00, вс.",
АльфаАптека Аптека N23 Табина ООО,"Минск-Заводской, пр-т Партизанский, 81Д-17, м. Партизанская, подземный переход, выход в сторону ул. Жилуновича",(029) 3987003,"08.00-22.00, пн.–пт.; 08.00-22.00, сб.; 09.00-21.00, вс.; Санитарные часы: второй понедельник месяца с 8.00 до 10.00;",
Зялёная крама Торговый объект N20 ООО Ирина-Фарм,"Минск-Московский, ул. Голубева, 25, 32-я городская пол-ка",7822 - А1+mts,"8.30-19.30, пн.–пт.; выходной, сб.; выходной, вс.",
Солвери Аптека N12 ООО Михалевич,"Ушачи, ул. Ленинская, 2А",(0215) 850859,"09.00-20.00, пн.–пт.; 09.00-20.00, сб.; 09.00-20.00, вс.; Санитарный час: второй вторник месяца 8.00- 10.00;",
АльфаАптека Аптека N18 ОДО Меджел,"Жодино, ул. Советская, 1В, пом. 49, маг. Санта",(01775) 58784,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.; Сандень первый вторник месяца: 9:00-11:00",
Зялёная крама Торговый объект N62 ООО Ирина-Фарм,"Минск-Фрунзенский, ул. Налибокская, 1, ТЦ Караван, островок в прикассовой зоне маг. Соседи",,"10.00-22.00, пн.–пт.; 10.00-22.00, сб.; 10.00-22.00, вс.",
Брестское РУП Фармация Аптека N44,"Малорита, аг. Великорита, ул. Ленина, 2, в здании амбулатории",(01651) 69967,"09.00-16.00, пн.–пт.; 08.30-13.30, сб.; выходной, вс.; Праздничные дни: выходной;",
Зялёная крама Торговый объект N82 ООО Ирина-Фарм,"Минск-Первомайский, ул. Руссиянова, 7, ТЦ Первомайский",7822 - А1+mts,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
АльфаАптека Аптека N3 ОДО Салюслайн,"Гродно, ул. Красноармейская, 7А",(0152) 623216,"09.00-19.00, пн.–пт.; 09.00-19.00, сб.; 09.00-19.00, вс.; Санитарные часы: третий вторник месяца с 9.00 до 11.00;",
Зялёная крама Торговый объект N718 ООО Ирина-Фарм,"Борисов, ул. Гагарина, 62, ТЦ Мандарин, островок на первом этаже",7822 - А1+mts,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
Могилевское РУП Фармация Аптека N144,"Бобруйск, аг. Ковали, ул. Машерова, 3",(0225) 456101,"08.00-14.00, пн.–пт.; выходной, сб.; выходной, вс.; Праздничные дни: выходной;",
Флора-Фарм ООО Аптека N1,"Минск-Фрунзенский, ул. Иосифа Жиновича, 20",(017) 3575412,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-20.00, вс.; Возможны изменения в режиме работы аптек! Уточняйте звонком!  Санитарные часы: последнее воскресенье каждого месяца с 10:00 до 11:00;",
АльфаАптека Аптека N22 ОДО Салюслайн,"Гродно, ул. Соломовой, 137, пом. 14, ТЦ Фолюш",(0152) 697854,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 10.00-18.00, вс.; Санитарные часы: второй вторник месяца с 9.00 до 11.00;",
Гродненское РУП Фармация Аптека N33,"Вороново, аг. Заболоть, ул. Коммунистическая, 5",(01594) 41889,"08.30-17.00, пн.; 08.30-17.00, вт.; 09.00-17.00, ср.; 09.00-17.00, чт.; выходной, пт.; выходной, сб.; 09.00-18.00, вс.; Перерыв: 13.00-13.10 Праздничные дни: выходной;",
Эклиния ООО Аптека N4,"Минск-Октябрьский, ул. Ландера, 38, пом. 3H",(017) 3370614,"09.00-20.00, пн.–пт.; 10.00-18.00, сб.; 10.00-17.00, вс.; Санитарный день: предпоследний четверг месяца;",
Добрыя Леки-Эканом Аптека N52 ООО Аптека групп Центр,"Минск-Ленинский, ул. Шпилевского, 57, пом. 11Н",моб. 5355757,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-20.00, вс.",
Добрыя Леки Аптека N21 ЗАО Аптека групп Север,"Орша, ул. Могилевская, 104-4",моб. 5355757,"09.00-19.30, пн.–пт.; 10.00-19.00, сб.; 10.00-19.00, вс.",
Доминантафарм ОДО Аптека N24,"Гродно, ул. Южная, 25-69",(0152) 552455,"09.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-18.00, вс.; Праздничные дни: 10:00-18:00; Санитарные часы: второй вторник каждого месяца с 9:00 до 13:00;",
Медвакс СЗАО Аптека N4,"Минск-Советский, ул. Козлова, 9",(017) 3013615,"08.00-21.00, пн.–пт.; 10.00-20.00, сб.; 10.00-17.00, вс.",
Добрыя Леки Аптека N18 ОДО Амадей,"Буда-Кошелево, ул. Ленина, 58, маг. Евроопт",моб. 5355757,"09.00-21.00, пн.–пт.; 09.00-21.00, сб.; 09.00-21.00, вс.",
